Category: All categories

Week,Coronavirus disease 2019: (United States)
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,4
2020-03-01,10
2020-03-08,37
2020-03-15,87
2020-03-22,100
2020-03-29,98
2020-04-05,87
2020-04-12,66
2020-04-19,59
2020-04-26,55
2020-05-03,51
2020-05-10,51
2020-05-17,46
2020-05-24,42
2020-05-31,36
2020-06-07,37
2020-06-14,48
2020-06-21,58
2020-06-28,66
2020-07-05,65
2020-07-12,70
2020-07-19,58
2020-07-26,62
2020-08-02,62
2020-08-09,46
2020-08-16,43
2020-08-23,38
2020-08-30,40
2020-09-06,35
2020-09-13,34
2020-09-20,36
2020-09-27,44
2020-10-04,46
2020-10-11,40
2020-10-18,42
2020-10-25,45
2020-11-01,37
2020-11-08,62
2020-11-15,78
2020-11-22,60
2020-11-29,60
2020-12-06,66
2020-12-13,67
